Case,n,k,Noise [%],AMI GT,AMI Obs,AMI d_u,ARI GT,ARI Obs,ARI d_u
10% Noise,3000,10,10.0,100.0,41.68,41.58,100.0,9.98,9.96
20% Noise,3000,10,20.0,100.0,24.06,79.48,100.0,4.53,54.62
30% Noise,3000,10,30.0,92.12,43.87,34.02,73.06,11.19,7.19
40% Noise,3000,10,40.0,96.98,0.06,23.2,90.45,0.0,3.65
50% Noise,3000,10,50.0,96.75,0.0,23.46,89.08,0.0,4.33
60% Noise,3000,10,60.0,88.44,0.31,35.44,66.7,-0.02,9.01
70% Noise,3000,10,70.0,92.28,24.45,38.94,74.21,4.73,8.77
80% Noise,3000,10,80.0,96.72,2.96,36.81,89.28,0.14,8.82
90% Noise,3000,10,90.0,77.7,22.22,33.28,40.9,4.4,9.55
Balanced Sizes,4000,10,0.0,100.0,74.0,72.9,100.0,38.02,37.11
Imbalanced Sizes,4000,10,0.0,100.0,91.12,87.34,100.0,73.15,69.4
Tiny Clusters,4000,80,0.0,96.51,23.31,26.04,83.79,0.81,1.09
Many Clusters + Noise,5000,40,30.0,92.03,14.45,26.43,60.29,0.71,1.9
Imbalanced + Noise,5000,20,20.0,93.1,31.78,43.82,74.11,3.6,6.56
