Case,Noise GT,Noise Obs,Noise d_u,Prec GT,Prec Obs,Prec d_u,Rec GT,Rec Obs,Rec d_u,t GT,t Obs,t d_u
10% Noise,9.7,3.3,8.13,100.0,98.99,57.79,97.0,32.67,47.0,0.19,0.18,8.88
20% Noise,18.67,4.87,23.03,100.0,100.0,36.18,93.33,24.33,41.67,0.15,0.15,4.55
30% Noise,25.93,5.77,21.63,100.0,77.46,50.23,86.44,14.89,36.22,0.15,0.15,4.42
40% Noise,29.6,4.7,15.77,100.0,95.74,74.0,74.0,11.25,29.17,0.16,0.15,4.59
50% Noise,35.67,14.4,32.3,100.0,36.34,51.6,71.33,10.47,33.33,0.17,0.18,4.57
60% Noise,39.57,8.5,37.53,100.0,56.47,44.85,65.94,8.0,28.06,0.15,0.15,4.7
70% Noise,41.77,7.37,26.4,100.0,83.71,76.14,59.67,8.81,28.71,0.15,0.15,4.5
80% Noise,43.43,6.93,21.57,100.0,100.0,97.22,54.29,8.67,26.21,0.18,0.16,4.56
90% Noise,46.9,6.23,23.57,100.0,100.0,96.89,52.11,6.93,25.37,0.14,0.15,4.69
Balanced Sizes,0.0,0.12,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,8.19
Imbalanced Sizes,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,8.26
Tiny Clusters,0.0,4.9,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.28,8.17
Many Clusters + Noise,19.84,3.32,9.98,100.0,83.73,74.55,66.13,9.27,24.8,0.39,0.39,12.75
Imbalanced + Noise,15.88,2.8,12.52,100.0,72.86,45.37,79.4,10.2,28.4,0.42,0.38,13.15
